horizon,model,acc,f1_macro,f1_weighted
1,Logistic,0.8176678445229681,0.5758765136617683,0.820269511217778
1,RF,0.8219081272084806,0.5592198883445104,0.8191610938989957
1,MLP,0.703886925795053,0.45748767563795434,0.7057879203354142
1,LightGBM,0.8318021201413428,0.585674457170266,0.8339773373381385
1,XGBoost,0.8395759717314487,0.6912037750313231,0.8400935227976076
6,Logistic,0.6340425531914894,0.3548274726263123,0.6196499995464583
6,RF,0.6113475177304964,0.3822244226950264,0.6142973469357247
6,MLP,0.450354609929078,0.2554174259014046,0.4166141507815832
6,LightGBM,0.6283687943262412,0.3998445528882799,0.6360657252469761
6,XGBoost,0.6354609929078014,0.3963437135247466,0.6388060330010666
12,Logistic,0.6196581196581197,0.35015803947213975,0.6139654405831443
12,RF,0.5612535612535613,0.3743920558812757,0.5786544808755885
12,MLP,0.4472934472934473,0.28531633049223604,0.4573699193999418
12,LightGBM,0.5035612535612536,0.32279823717425943,0.5230006408314624
12,XGBoost,0.5455840455840456,0.3524032916412764,0.5644734440768043
24,Logistic,0.6041666666666666,0.3533688848907426,0.604123061092585
24,RF,0.49712643678160917,0.3301815020484354,0.5153502039156623
24,MLP,0.5632183908045977,0.32852150179736384,0.552768085734792
24,LightGBM,0.5107758620689655,0.3382586456143165,0.5308023644416154
24,XGBoost,0.5466954022988506,0.3528695325606948,0.5642990265476951
